"15","ALDESA","E7 67R 01 3063.21"
"16","ALDESA","E7 67R 01 306321"
"17","APOLO","E7 67R 01 1031806"
"18","ATIKER","E7 67R 01 1031806"
"19","BAYKAN","E20 67R 01 0754"
"20","BRC","E13 67R 01 0004"
"21","BRC","E20 67R 00 3004"
"22","BRC","E20 67R 00 3005"
"23","BRC","E20 67R 00 7037"
"24","DMVL","E8 67R 00 2459"
"25","EMER","E20 67R 00 5027"
"26","EMMEGAS","E8 67R 00 2396"
"27","FEMA","E3 67R 01 0047"
"28","FEMA","E37 67R 01 0047"
"29","FEMA","E7 67R 01 84223"
"30","GAS4CAR","E7 67R 01 169011"
"31","LANDI","E13 67R 010129"
"32","LANDI","E8 67R 00 1620"
"33","LANDIRENZO","E8 67R 00 1620"
"34","LANDIRENZO","E8 67R 01 3018"
"35","LONGAS","E20 67R 00 80408"
"36","LONGAS","E20 67R 00 8039"
"37","LOVATO","E4 67R 00 94004"
"38","LOVATO","E4 67R 01 94004"
"39","MARINI","E6 67R 01 0006"
"40","MARINI","E7 67R 01 993 18"
"41","MIMGAS","E7 67R 01 84223"
"42","NLP","E7 67R 01 53110119"
"43","OKCAN","E37 67R 01 0023"
"44","OKCAN","E37 67R 010023 2"
"45","OMV","E13 67R 010188"
"46","OMVL","E8 67R 00 2459"
"47","RAIL","E13 67R 01 0188"
"48","REG","E8 67R 002459"
"49","TARTARINI","E8 67R 013018"
"50","TOMASETTO","E8 67R 01 3018"
"51","TOMASETTO","E8 67R 00 1620"
"52","TOMASETTO","E8 67R 01 3037"
"53","TORELLI","E7 67R 01 1255304"
"54","VOLTRAN","E37 67R 01 0007"
"55","VOLTRAN","E37 67R 01 0007 01"
"56","VOLTRAN","E37 67R 01 0070"
