"20","AG","E4 67R 01 0050"
"21","AITALIA","E7 67R 01 109 06"
"22","ALDESA","E7 67R 01 306304"
"23","ALDESA","E7 67R 01 306307"
"24","ALDESA","E7 67R 01 306309"
"25","ALEX","E20 67R 01 0951"
"26","APOLO","E37 67R 01 0073"
"27","APOLO","E7 67R 01 10451"
"28","APOLO","E7 67R 01 10451.11"
"29","APOLO","E7 67R 01 7281 12"
"30","ATIKER","E37 67R 01 0044"
"31","AUTOGAS ITALIA","E7 67R 01 109 06"
"32","AUTOGAS ITALIA","E7 67R 01 728115"
"33","BAYKAN","E20 67R 01 0801"
"34","BEDINI","E13 67R 01 0024"
"35","BEDINI","E20 67R 01 0680"
"36","BRC","E13 67R 01 0016"
"37","BRC","E13 67R 01 0045"
"38","BRC","E13 67R 01 0045 01"
"39","BRC","E13 67R 01 0075"
"40","BRC","E13 67R 01 0076"
"41","BRC","E13 67R 01 0254"
"42","D.T. GAS","E8 67R 01 4512"
"43","EGAS","E20 67R 01 0496"
"44","EMMEGAS","E4 67R 00 94015"
"45","EMMEGAS","E4 67R 01 0107"
"46","EMMEGAS","E4 67R 01 94015"
"47","FEMA","E37 67R 01 0046"
"48","KOLTEC","E4 67R 00 96006"
"49","LANDI","E13 67R 01 0028"
"50","LANDI","E13 67R 01 0056"
"51","LANDI","E13 67R 01 0277"
"52","LANDI","E3 67R 00 51730"
"53","LANDI","E3 67R 00 5730"
"54","LANDIRENZO","E13 67R 01 0025"
"55","LANDIRENZO","E13 67R 01 00277"
"56","LANDIRENZO","E13 67R 01 0028"
"57","LANDIRENZO","E13 67R 01 0056"
"58","LANDIRENZO","E13 67R 01 0272"
"59","LANDIRENZO","E13 67R 01 0277"
"60","LOGAS","E4 67R 01 0088"
"61","LONGAS","E8 67R 01 1544"
"62","LOVATO","E13 67R 01 0286"
"63","LOVATO","E4 67R 01 92006"
"65","LOVTEC","E4 67R 01 92006"
"66","MARINI","E8 67R 01 0004"
"67","MARINI","E6 67R 00 4720"
"68","MEMTEX","E8 67R 01 4960"
"69","MG MOTOR GAS","E8 67R 01 4061"
"70","MG MOTOR GAS","E8 67R 01 3058"
"71","MIMGAS","E7 67R 01 64221"
"72","MIMGAS","E7 67R 01 84221"
"73","MIMGAS","E7 67R 01 84222"
"74","MOTORGAS","E8 67R 01 3058"
"75","NLP","E7 67R 01 53110116"
"76","OKCAN","E37 67R 01 0022"
"77","OMVL","E4 67R 01 0281"
"78","REG","E4 67R 01 0099"
"79","REG","E4 67R 01 0121"
"80","REG","E8 67R 01 1618"
"81","STARGAS","E13 67R01 0111"
"82","STEFANELLI","E8 67R 01 4156"
"83","STEFANELLI","E8 67R 01 4152"
"84","TARTARINI","E13 67R 01 0023"
"85","TARTARINI","E3 67R 00 52648"
"86","TOMASETTO","E8 67R 01 3165"
"87","TOMASETTO","E8 67R 01 3824"
"88","TOMASETTO","E8 67R 01 4066"
"89","VIALLE","E4 67R 01 93018"
"90","VOLTRAN","E37 67R 01 0004"
"91","VOLTRAN","E37 67R 01 0005"
"92","ZAVOLI","E13 67R 01 0078"
"93","ZAVOLI","E13 67R 01 0276"
